Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
64,46,7,0.16,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
64,46,7,0.79,6.45,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
65,46,10,0.0,5.28,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
65,46,10,0.0,4.2,1,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
65,46,10,0.16,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
65,46,10,0.79,6.45,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
66,46,37,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
66,46,37,0.0,6.55,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
66,46,37,0.16,4.67,1,1,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
66,46,37,0.79,3.88,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
67,46,44,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
67,46,44,0.0,4.67,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
67,46,44,0.16,5.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
67,46,44,0.79,6.55,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
